date,top10,top10_pctile_3y,top10_pctile_10y
20221028,0.495632,0.020576,0.405761
20221031,0.513392,0.108368,0.503704
20221101,0.529814,0.270233,0.617695
20221102,0.522404,0.197531,0.564609
20221103,0.516817,0.134431,0.523045
20221104,0.527531,0.246914,0.598765
20221107,0.512063,0.093278,0.493416
20221108,0.508323,0.069959,0.471193
20221109,0.498055,0.028807,0.417284
20221110,0.489071,0.006859,0.377778
20221111,0.516598,0.139918,0.522634
20221114,0.523048,0.211248,0.567901
20221115,0.510664,0.093278,0.486831
20221116,0.49799,0.030178,0.416872
20221117,0.506244,0.061728,0.461728
20221118,0.497097,0.024691,0.409877
20221121,0.492922,0.012346,0.392181
20221122,0.486158,0.005487,0.363374
20221123,0.485908,0.005487,0.362551
20221124,0.505151,0.058985,0.455967
20221125,0.509425,0.091907,0.48107
20221128,0.505347,0.060357,0.455967
20221129,0.527119,0.266118,0.597942
20221130,0.521202,0.201646,0.556379
20221201,0.523263,0.229081,0.571193
20221202,0.493245,0.016461,0.393416
20221205,0.50435,0.057613,0.451852
20221206,0.520425,0.194787,0.550617
20221207,0.519976,0.192044,0.54856
20221208,0.499631,0.043896,0.427984
20221209,0.516706,0.159122,0.525514
20221212,0.497769,0.035665,0.417284
20221213,0.503267,0.05487,0.446502
20221214,0.520042,0.198903,0.548971
20221215,0.521064,0.21262,0.556379
20221216,0.504419,0.0631,0.453086
20221219,0.514111,0.141289,0.509877
20221220,0.543124,0.496571,0.720165
20221221,0.523131,0.245542,0.574074
20221222,0.531121,0.319616,0.626337
20221223,0.536003,0.399177,0.665432
20221226,0.534353,0.364883,0.64856
20221227,0.533586,0.355281,0.641975
20221228,0.547438,0.545953,0.749794
20221229,0.53702,0.410151,0.674074
20221230,0.534579,0.37037,0.648971
20230103,0.508378,0.096022,0.47284
20230104,0.518403,0.186557,0.535802
20230105,0.549044,0.561043,0.759259
20230106,0.535616,0.389575,0.659259
20230109,0.544132,0.508916,0.728395
20230110,0.552192,0.581619,0.775309
20230111,0.537784,0.414266,0.678189
20230112,0.546054,0.528121,0.738272
20230113,0.552415,0.581619,0.775309
20230116,0.56026,0.640604,0.812346
20230117,0.53558,0.379973,0.655967
20230118,0.524033,0.249657,0.574486
20230119,0.525761,0.266118,0.586008
20230120,0.533815,0.348422,0.639095
20230130,0.521489,0.209877,0.553086
20230131,0.511293,0.109739,0.486008
20230201,0.495257,0.02332,0.395885
20230202,0.492047,0.012346,0.381893
20230203,0.488469,0.00823,0.36749
20230206,0.501295,0.052126,0.430041
20230207,0.483449,0.004115,0.344856
20230208,0.484332,0.005487,0.34856
20230209,0.488654,0.012346,0.369547
20230210,0.478496,0.004115,0.330864
20230213,0.48007,0.005487,0.336214
20230214,0.485258,0.010974,0.353909
20230215,0.491493,0.020576,0.383128
20230216,0.474497,0.002743,0.316049
20230217,0.50403,0.072702,0.446502
20230220,0.518699,0.198903,0.533745
20230221,0.511117,0.1262,0.486831
20230222,0.50498,0.079561,0.450206
20230223,0.500138,0.060357,0.424691
20230224,0.515796,0.171468,0.513992
20230227,0.494998,0.034294,0.395885
20230228,0.503467,0.072702,0.442387
20230301,0.529453,0.322359,0.613992
20230302,0.513305,0.150892,0.497942
20230303,0.518706,0.209877,0.533333
20230306,0.524695,0.285322,0.581481
20230307,0.510967,0.131687,0.484362
20230308,0.523025,0.260631,0.566255
20230309,0.51863,0.20439,0.531276
20230310,0.515021,0.167353,0.507407
20230313,0.525838,0.296296,0.588477
20230314,0.534652,0.384088,0.648148
20230315,0.525376,0.288066,0.585597
20230316,0.538557,0.437586,0.683951
20230317,0.557375,0.618656,0.8
20230320,0.553575,0.593964,0.782716
20230321,0.538541,0.437586,0.683128
20230322,0.545991,0.534979,0.737449
20230323,0.572306,0.716049,0.861728
20230324,0.563498,0.670782,0.829218
20230327,0.569907,0.705075,0.851852
20230328,0.559679,0.632373,0.807407
20230329,0.567107,0.691358,0.842387
20230330,0.568803,0.699588,0.848971
20230331,0.572551,0.716049,0.862963
20230403,0.586632,0.781893,0.903292
20230404,0.590795,0.798354,0.910288
20230406,0.593156,0.816187,0.916872
20230407,0.57049,0.702332,0.851852
20230410,0.575787,0.727023,0.874074
20230411,0.588943,0.783265,0.904115
20230412,0.581569,0.751715,0.8893
20230413,0.562306,0.647462,0.818519
20230414,0.569308,0.691358,0.847325
20230417,0.54966,0.552812,0.755556
20230418,0.572989,0.710562,0.86214
20230419,0.577787,0.729767,0.878601
20230420,0.586399,0.775034,0.900823
20230421,0.565038,0.66118,0.828807
20230424,0.574824,0.717421,0.867078
20230425,0.564812,0.658436,0.827984
20230426,0.588331,0.780521,0.903292
20230427,0.576338,0.721536,0.874074
20230428,0.561814,0.631001,0.81358
20230504,0.557503,0.591221,0.790535
20230505,0.573212,0.705075,0.860905
20230508,0.588857,0.781893,0.903704
20230509,0.601161,0.855967,0.934979
20230510,0.601178,0.855967,0.934979
20230511,0.578008,0.722908,0.876955
20230512,0.567928,0.666667,0.83786
20230515,0.578594,0.728395,0.879424
20230516,0.56465,0.643347,0.823457
20230517,0.555037,0.566529,0.774897
20230518,0.567897,0.663923,0.836626
20230519,0.560891,0.611797,0.802881
20230522,0.532283,0.334705,0.612757
20230523,0.529454,0.312757,0.598354
20230524,0.55458,0.561043,0.77037
20230525,0.551542,0.539095,0.755967
20230526,0.561744,0.621399,0.809465
20230529,0.567268,0.66118,0.833333
20230530,0.577619,0.718793,0.875309
20230531,0.580525,0.743484,0.88642
20230601,0.566866,0.651578,0.82963
20230602,0.549879,0.522634,0.744444
20230605,0.544348,0.473251,0.709465
20230606,0.543628,0.463649,0.703292
20230607,0.557264,0.572016,0.782305
20230608,0.549868,0.51989,0.743621
20230609,0.565023,0.640604,0.822222
20230612,0.544412,0.469136,0.70823
20230613,0.572131,0.685871,0.852263
20230614,0.576294,0.710562,0.870782
20230615,0.573218,0.694102,0.857613
20230616,0.569189,0.668038,0.839918
20230619,0.573884,0.699588,0.860905
20230620,0.589512,0.783265,0.904938
20230621,0.572918,0.685871,0.854321
20230626,0.551594,0.522634,0.750206
20230627,0.536674,0.382716,0.642798
20230628,0.5482,0.503429,0.730453
20230629,0.537991,0.395062,0.654733
20230630,0.525142,0.26749,0.558025
20230703,0.534249,0.352538,0.618519
20230704,0.533443,0.33882,0.611111
20230705,0.530154,0.308642,0.591358
20230706,0.545634,0.482853,0.712757
20230707,0.539119,0.412894,0.661317
20230710,0.530324,0.311385,0.591358
20230711,0.530242,0.308642,0.590535
20230712,0.54276,0.449931,0.6893
20230713,0.545055,0.477366,0.707819
20230714,0.550708,0.524005,0.742798
20230717,0.530325,0.30727,0.590123
20230718,0.523705,0.251029,0.541564
20230719,0.520957,0.216735,0.521811
20230720,0.524421,0.260631,0.549383
20230721,0.515887,0.170096,0.486008
20230724,0.517993,0.186557,0.499177
20230725,0.551775,0.534979,0.750617
20230726,0.519771,0.211248,0.511523
20230727,0.514337,0.155007,0.475309
20230728,0.560349,0.593964,0.794239
20230731,0.555898,0.563786,0.77284
20230801,0.542298,0.447188,0.684774
20230802,0.543626,0.459534,0.695062
20230803,0.561545,0.603567,0.802881
20230804,0.596249,0.829904,0.923457
20230807,0.562765,0.611797,0.807407
20230808,0.556238,0.559671,0.77284
20230809,0.543238,0.451303,0.689712
20230810,0.561428,0.599451,0.801235
20230811,0.539505,0.415638,0.658848
20230814,0.54196,0.436214,0.679012
20230815,0.544182,0.463649,0.698765
20230816,0.557624,0.566529,0.779424
20230817,0.536319,0.374486,0.631276
20230818,0.51698,0.178326,0.485597
20230821,0.52283,0.238683,0.527572
20230822,0.529816,0.300412,0.580658
20230823,0.540046,0.421125,0.663786
20230824,0.550173,0.51166,0.737449
20230825,0.515193,0.155007,0.471605
20230828,0.537092,0.379973,0.639095
20230829,0.509873,0.112483,0.439918
20230830,0.512375,0.1262,0.452263
20230831,0.512651,0.130316,0.453909
20230901,0.514737,0.14952,0.468313
20230904,0.512086,0.123457,0.450617
20230905,0.519656,0.197531,0.502469
20230906,0.518999,0.190672,0.497119
20230907,0.517066,0.170096,0.486008
20230908,0.530976,0.304527,0.585185
20230911,0.522723,0.230453,0.525926
20230912,0.534083,0.33882,0.60823
20230913,0.510325,0.102881,0.440329
20230914,0.534093,0.33882,0.60823
20230915,0.527894,0.27572,0.565844
20230918,0.51227,0.115226,0.45144
20230919,0.513884,0.133059,0.462551
20230920,0.521829,0.219479,0.519753
20230921,0.532161,0.312757,0.590947
20230922,0.55932,0.577503,0.786831
20230925,0.547929,0.492455,0.722634
20230926,0.568359,0.654321,0.834568
20230927,0.539325,0.40192,0.653909
20230928,0.534806,0.345679,0.613169
20231009,0.527692,0.274348,0.560494
20231010,0.545441,0.469136,0.705761
20231011,0.545959,0.473251,0.707819
20231012,0.561927,0.603567,0.803704
20231013,0.558423,0.565158,0.780658
20231016,0.544598,0.455418,0.697119
20231017,0.555343,0.545953,0.765432
20231018,0.569642,0.665295,0.839095
20231019,0.585821,0.762689,0.896708
20231020,0.566484,0.632373,0.823045
20231023,0.539232,0.390947,0.649383
20231024,0.553667,0.529492,0.754733
20231025,0.553761,0.530864,0.755967
20231026,0.559585,0.570645,0.784774
20231027,0.519517,0.192044,0.494239
20231030,0.511696,0.112483,0.440741
20231031,0.521262,0.21262,0.507407
20231101,0.524986,0.255144,0.537037
20231102,0.529077,0.286694,0.565432
20231103,0.51261,0.122085,0.445679
20231106,0.522534,0.231824,0.515638
20231107,0.541431,0.414266,0.668313
20231108,0.542838,0.429355,0.676955
20231109,0.55218,0.514403,0.745679
20231110,0.548025,0.484225,0.718107
20231113,0.517839,0.17284,0.478601
20231114,0.52914,0.292181,0.564609
20231115,0.525561,0.266118,0.539095
20231116,0.524661,0.257888,0.531687
20231117,0.522337,0.231824,0.511523
20231120,0.493574,0.024691,0.351852
20231121,0.499876,0.046639,0.379835
20231122,0.51054,0.108368,0.429218
20231123,0.51179,0.11797,0.436214
20231124,0.499291,0.042524,0.374897
20231127,0.499218,0.042524,0.374486
20231128,0.494476,0.028807,0.353909
20231129,0.503313,0.0631,0.391358
20231130,0.497935,0.039781,0.367901
20231201,0.517999,0.187929,0.477366
20231204,0.513095,0.142661,0.445679
20231205,0.510615,0.116598,0.428807
20231206,0.52256,0.252401,0.512757
20231207,0.523736,0.270233,0.523045
20231208,0.522414,0.251029,0.511523
20231211,0.50367,0.067215,0.390535
20231212,0.525886,0.296296,0.541975
20231213,0.513027,0.145405,0.443621
20231214,0.514834,0.164609,0.455556
20231215,0.518162,0.198903,0.476543
20231218,0.493385,0.024691,0.34321
20231219,0.512733,0.141289,0.439095
20231220,0.511277,0.1262,0.430041
20231221,0.510354,0.116598,0.422222
20231222,0.513814,0.159122,0.447737
20231225,0.507827,0.100137,0.407407
20231226,0.51508,0.178326,0.457202
20231227,0.529104,0.333333,0.563786
